| User Story ID | As a             | I want to                                                   | So that                                                        | Priority    | Epic                          | Sprint Story Points |
| ------------: | ---------------- | ----------------------------------------------------------- | -------------------------------------------------------------- | ----------- | ----------------------------- | ------------------: |
|             1 | Investigator     | upload an image or video                                    | I can quickly check if it has been manipulated or AI-generated | Must have   | Media Ingestion               |                   8 |
|             2 | Investigator     | see clear visual indicators (heatmaps / highlighted frames) | I can easily identify suspicious areas                         | Must have   | Visualization                 |                   7 |
|             3 | Investigator     | download a simple report in PDF                             | I can use it as supporting material in my case files           | Must have   | Reporting                     |                   5 |
|             4 | Forensic Analyst | review detailed metadata and anomaly scores                 | I can perform deeper verification of suspicious content        | Must have   | Advanced Analysis             |                   8 |
|             5 | Forensic Analyst | export results in JSON                                      | I can integrate findings into my forensic workflow             | Should have | Integration / Export          |                   3 |
|             6 | Forensic Analyst | see frame-by-frame video analysis                           | I can identify which exact moments were altered                | Should have | Video Analysis                |                   8 |
|             7 | Legal Officer    | include file hashes and chain-of-custody records in reports | the evidence can be admissible in court                        | Must have   | Compliance & Chain of Custody |                   8 |
|             8 | Client           | use the system offline                                      | it works in secure environments without cloud dependencies     | Should have | Offline / Edge Deployment     |                  13 |
|             9 | Client           | receive a reliable confidence score with every detection    | I can judge how trustworthy the results are                    | Must have   | Scoring & Calibration         |                   5 |
|            10 | Product Owner    | prioritize user stories based on client feedback            | the backlog reflects the most urgent needs                     | Should have | Product Management            |                   3 |
|            11 | Developer        | have modular detection components                           | I can replace or upgrade models in the future                  | Must have   | Architecture & Modularity     |                   8 |
|            12 | Developer        | keep logs of every analysis                                 | I can debug issues and trace outputs for audit                 | Must have   | Observability & Audit         |                   5 |
|            13 | Journalist       | verify the authenticity of online videos                    | I can avoid spreading misinformation                           | Must have   | Public Verification           |                   5 |
|            14 | Public User      | use an easy and accessible tool                             | I don’t need technical expertise to check content              | Must have   | UX & Accessibility            |                   5 |
